pref,category,year_week,ma4,weekly_value,yr,wk
三重県,マイコプラズマ肺炎,2025-49,1.0825,1.22,2025,49
三重県,マイコプラズマ肺炎,2025-50,1.165,1,2025,50
三重県,マイコプラズマ肺炎,2025-51,1.0275,0.56,2025,51
三重県,マイコプラズマ肺炎,2025-52,0.8625,0.67,2025,52
三重県,伝染性紅斑,2025-01,0.10250000000000001,0.06,2025,1
三重県,伝染性紅斑,2025-02,0.0925,0.16,2025,2
三重県,伝染性紅斑,2025-03,0.0825,0.09,2025,3
三重県,伝染性紅斑,2025-05,0.1275,0.2,2025,5
三重県,伝染性紅斑,2025-06,0.135,0.09,2025,6
三重県,伝染性紅斑,2025-07,0.1175,0.09,2025,7
三重県,伝染性紅斑,2025-08,0.14,0.18,2025,8
三重県,伝染性紅斑,2025-09,0.1525,0.25,2025,9
三重県,伝染性紅斑,2025-10,0.19749999999999998,0.27,2025,10
三重県,伝染性紅斑,2025-11,0.2925,0.47,2025,11
三重県,伝染性紅斑,2025-12,0.375,0.51,2025,12
三重県,伝染性紅斑,2025-13,0.40249999999999997,0.36,2025,13
三重県,伝染性紅斑,2025-14,0.535,0.8,2025,14
三重県,伝染性紅斑,2025-15,0.73,1.25,2025,15
三重県,伝染性紅斑,2025-16,0.9025,1.2,2025,16
三重県,伝染性紅斑,2025-17,1.195,1.53,2025,17
三重県,伝染性紅斑,2025-18,1.245,1,2025,18
三重県,伝染性紅斑,2025-19,1.35,1.67,2025,19
三重県,伝染性紅斑,2025-20,1.7325000000000002,2.73,2025,20
三重県,伝染性紅斑,2025-21,2.19,3.36,2025,21
三重県,伝染性紅斑,2025-22,2.7025,3.05,2025,22
三重県,伝染性紅斑,2025-23,3.135,3.4,2025,23
三重県,伝染性紅斑,2025-24,3.215,3.05,2025,24
三重県,伝染性紅斑,2025-25,3.3525,3.91,2025,25
三重県,伝染性紅斑,2025-26,3.4525,3.45,2025,26
三重県,伝染性紅斑,2025-27,3.715,4.45,2025,27
三重県,伝染性紅斑,2025-28,3.885,3.73,2025,28
三重県,伝染性紅斑,2025-29,3.8449999999999998,3.75,2025,29
三重県,伝染性紅斑,2025-30,3.9325,3.8,2025,30
三重県,伝染性紅斑,2025-31,3.5925000000000002,3.09,2025,31
三重県,伝染性紅斑,2025-32,3.44,3.12,2025,32
三重県,伝染性紅斑,2025-33,3.0425000000000004,2.16,2025,33
三重県,伝染性紅斑,2025-34,2.7775,2.74,2025,34
三重県,伝染性紅斑,2025-35,2.7275,2.89,2025,35
三重県,伝染性紅斑,2025-36,2.5275,2.32,2025,36
三重県,伝染性紅斑,2025-37,2.5,2.05,2025,37
三重県,伝染性紅斑,2025-38,2.1625,1.39,2025,38
三重県,伝染性紅斑,2025-39,1.7475,1.23,2025,39
三重県,伝染性紅斑,2025-40,1.48,1.25,2025,40
三重県,伝染性紅斑,2025-41,1.2975,1.32,2025,41
三重県,伝染性紅斑,2025-42,1.1825,0.93,2025,42
三重県,伝染性紅斑,2025-43,1.09,0.86,2025,43
三重県,伝染性紅斑,2025-44,0.9875,0.84,2025,44
三重県,伝染性紅斑,2025-45,0.805,0.59,2025,45
三重県,伝染性紅斑,2025-46,0.6575,0.34,2025,46
三重県,伝染性紅斑,2025-47,0.5725,0.52,2025,47
三重県,伝染性紅斑,2025-48,0.4125,0.2,2025,48
三重県,伝染性紅斑,2025-49,0.35000000000000003,0.34,2025,49
三重県,伝染性紅斑,2025-50,0.35000000000000003,0.34,2025,50
三重県,伝染性紅斑,2025-51,0.2475,0.11,2025,51
三重県,伝染性紅斑,2025-52,0.28250000000000003,0.34,2025,52
三重県,咽頭結膜熱,2025-01,0.23249999999999998,0.2,2025,1
三重県,咽頭結膜熱,2025-02,0.27249999999999996,0.47,2025,2
三重県,咽頭結膜熱,2025-03,0.27249999999999996,0.18,2025,3
三重県,咽頭結膜熱,2025-05,0.2575,0.18,2025,5
三重県,咽頭結膜熱,2025-06,0.26749999999999996,0.24,2025,6
三重県,咽頭結膜熱,2025-07,0.245,0.38,2025,7
三重県,咽頭結膜熱,2025-08,0.26,0.24,2025,8
三重県,咽頭結膜熱,2025-09,0.265,0.2,2025,9
三重県,咽頭結膜熱,2025-10,0.255,0.2,2025,10
三重県,咽頭結膜熱,2025-11,0.22,0.24,2025,11
三重県,咽頭結膜熱,2025-12,0.1925,0.13,2025,12
三重県,咽頭結膜熱,2025-13,0.28250000000000003,0.56,2025,13
三重県,咽頭結膜熱,2025-14,0.27749999999999997,0.18,2025,14
三重県,咽頭結膜熱,2025-15,0.25250000000000006,0.14,2025,15
三重県,咽頭結膜熱,2025-16,0.3025,0.33,2025,16
三重県,咽頭結膜熱,2025-17,0.2675,0.42,2025,17
三重県,咽頭結膜熱,2025-18,0.30000000000000004,0.31,2025,18
三重県,咽頭結膜熱,2025-19,0.3425,0.31,2025,19
三重県,咽頭結膜熱,2025-20,0.355,0.38,2025,20
三重県,咽頭結膜熱,2025-21,0.375,0.5,2025,21
三重県,咽頭結膜熱,2025-22,0.4575,0.64,2025,22
三重県,咽頭結膜熱,2025-23,0.59,0.84,2025,23
三重県,咽頭結膜熱,2025-24,0.74,0.98,2025,24
三重県,咽頭結膜熱,2025-25,0.825,0.84,2025,25
三重県,咽頭結膜熱,2025-26,0.8524999999999999,0.75,2025,26
三重県,咽頭結膜熱,2025-27,0.91,1.07,2025,27
三重県,咽頭結膜熱,2025-28,0.88,0.86,2025,28
三重県,咽頭結膜熱,2025-29,0.8175,0.59,2025,29
三重県,咽頭結膜熱,2025-30,0.72,0.36,2025,30
三重県,咽頭結膜熱,2025-31,0.5599999999999999,0.43,2025,31
三重県,咽頭結膜熱,2025-32,0.5075,0.65,2025,32
三重県,咽頭結膜熱,2025-33,0.41500000000000004,0.22,2025,33
三重県,咽頭結膜熱,2025-34,0.435,0.44,2025,34
三重県,咽頭結膜熱,2025-35,0.385,0.23,2025,35
三重県,咽頭結膜熱,2025-36,0.29,0.27,2025,36
三重県,咽頭結膜熱,2025-37,0.3875,0.61,2025,37
三重県,咽頭結膜熱,2025-38,0.385,0.43,2025,38
三重県,咽頭結膜熱,2025-39,0.395,0.27,2025,39
三重県,咽頭結膜熱,2025-40,0.385,0.23,2025,40
三重県,咽頭結膜熱,2025-41,0.29,0.23,2025,41
三重県,咽頭結膜熱,2025-42,0.2275,0.18,2025,42
三重県,咽頭結膜熱,2025-43,0.245,0.34,2025,43
三重県,咽頭結膜熱,2025-44,0.2225,0.14,2025,44
三重県,咽頭結膜熱,2025-45,0.23249999999999998,0.27,2025,45
三重県,咽頭結膜熱,2025-46,0.255,0.27,2025,46
三重県,咽頭結膜熱,2025-47,0.23750000000000002,0.27,2025,47
三重県,咽頭結膜熱,2025-48,0.24250000000000002,0.16,2025,48
三重県,咽頭結膜熱,2025-49,0.21500000000000002,0.16,2025,49
三重県,咽頭結膜熱,2025-50,0.20500000000000002,0.23,2025,50
三重県,咽頭結膜熱,2025-51,0.20500000000000002,0.27,2025,51
三重県,咽頭結膜熱,2025-52,0.24500000000000002,0.32,2025,52
三重県,急性出血性結膜炎,2025-01,0,0,2025,1
三重県,急性出血性結膜炎,2025-02,0.02,0.08,2025,2
